lineage,cell_type,marker_genes,expected_markers,cancer_or_host,comments
cancer,cancer,,,cancer,
myeloid,macrophages,PTPRC;AIF1;CD68,PTPRC*AIF1*CD68,host,
myeloid,dendritic,PTPRC;AIF1;XCR1;CLEC9A;FCER1A;CD1C;FSCN1;CCR7,PTPRC*AIF1*(XCR1+CLEC9A+FCER1A+CD1C+FSCN1+CCR7),host,
myeloid,Eosinophils,PTPRC;AIF1;ADGRE1,PTPRC*AIF1*ADGRE1,host,
myeloid,Neutrophils,PTPRC;AIF1;CSF3R;S100A8;CTSG;MPO,PTPRC*AIF1*(CSF3R+S100A8+CTSG+MPO),host,
myeloid,MAST,PTPRC;AIF1;KIT;TPSAB1;TPSB2,PTPRC*AIF1*(KIT+TPSAB1+TPSB2),host,
myeloid,MDSC,PTPRC;AIF1;S100A8;ICAM1;S100A9,PTPRC*AIF1*(S100A8+ICAM1+S100A9),host,
pDC,pDC,PTPRC;IRF7;TCF4,PTPRC*(IRF7+TCF4),host,
lymphoid,T CD8,PTPRC;CD3E;CD3D;CD8A;CD8B,PTPRC*(CD3E+CD3D)*(CD8A+CD8B),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,T CD4,PTPRC;CD3E;CD3D;CD4;TCF7;SELL;IFNG;IL4;IL17A;IL21,PTPRC*(CD3E+CD3D)*(CD4+!CD8A)*(CD4+!CD8B)*(+TCF7+SELL+IFNG+IL4+IL17A+IL21)*(!FOXP3),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,Treg,PTPRC;CD3E;CD3D;CD4;FOXP3;TIGIT;CTLA4;IL2RA,PTPRC*(CD3E+CD3D)*(CD4+!CD8A)*(CD4+!CD8B)*FOXP3*(+TIGIT+CTLA4+IL2RA),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,B,PTPRC;CD19;MS4A1,PTPRC*(CD19+MS4A1),host,
lymphoid,ILC,PTPRC;KLRB1,PTPRC*KLRB1,host,
lymphoid,Plasma,PTPRC;JCHAIN,PTPRC*JCHAIN,host,
stromal,fibroblasts,COL1A1;COL1A2;VIM;FAP;PDGFRB;PDGFRA;LUM;SPP1;DCN,VIM*(COL1A1+COL1A2+FAP+PDGFRB+LUM+SPP1+DCN+PDGFRA),host,verify you find COLA1 and COLA2 in Wu data
stromal,adipocytes,ACLY;ACACA;FASN,ACLY*ACACA*FASN,host,
stromal,endothelial,PECAM1;EGFL7;ID3;FLT1,PECAM1+EGFL7+ID3+FLT1,host,
stromal,epithelial,CDH1;EPCAM,CDH1+EPCAM,host,
stromal,Smooth muscle,ACTA2;MYL9;MYLK;MYH11,ACTA2+MYL9+MYLK+MYH11,host,
stromal,skeletal muscle,FADS1;FGFR4;ACTA1;MLC1;MYLPF,FADS1+FGFR4+ACTA1+MLC1+MYLPF,host,
stromal,skin epithelial,KRT5;KRT16;S100A14;KRT15;CALML5;LHX2;KRT23;KRT14,KRT5*(KRT16+S100A14+KRT15+CALML5+LHX2+KRT23+KRT14),host,
stromal,airway epithelial,AQP1;CDH1,AQP1+CDH1,host,
stromal,alveolar epithelial,CLDN18;COL4A3;SFTPC;SLC34A2;SFTPA1,CLDN18+COL4A3+SFTPC+SLC34A2+SFTPA1,host,
stromal,Melanocyte,MLANA;TYRP1;RAB38;MITF;MC1R,MLANA+TYRP1+RAB38+MITF+MC1R,host,
Erythrocytes,Erythrocytes,HBB;HBA1;HBA2,HBB+HBA1+HBA2,host,
Brain,Neurons,Rbfox3;Tubb3,Rbfox3*Tubb3,host,
Brain,Astrocytes,Gfap;Apoe;Acsl6,Gfap*Apoe*Acsl6,host,
Brain,Oligodendrocytes,Mbp;Mog;Olig2,Mbp*Mog*Olig2,host,
Brain,Microglia,Ptprc;Aif1;Cx3cr1;P2ry12,Ptprc+Aif1+Cx3cr1*P2ry12,host,
cancer_mouse,cancer_mouse,,,cancer,
myeloid_mouse,macrophages_mouse,Ptprc;Aif1;Cd68,Ptprc*Aif1*Cd68,host,
myeloid_mouse,dendritic_mouse,Ptprc;Aif1;Xcr1;Clec9a;Fcer1a;Fscn1;Ccr7,Ptprc*Aif1*(Xcr1+Clec9a+Fcer1a+Fscn1+Ccr7),host,
myeloid_mouse,Eosinophils_mouse,Ptprc;Aif1;Adgre1,Ptprc*Aif1*Adgre1,host,
myeloid_mouse,Neutrophils_mouse,Ptprc;Aif1;Csf3r;S100a8;Ctsg;Mpo,Ptprc*Aif1*(Csf3r+S100a8+Ctsg+Mpo),host,
myeloid_mouse,MAST_mouse,Ptprc;Aif1;Kit;Tpsab1;Tpsb2,Ptprc*Aif1*(Kit+Tpsab1+Tpsb2),host,
myeloid_mouse,MDSC_mouse,Ptprc;Aif1;S100a8;Icam1;S100a9,Ptprc*Aif1*(S100a8+Icam1+S100a9),host,
pDC_mouse,pDC_mouse,Ptprc;Irf7;Tcf4,Ptprc*(Irf7+Tcf4),host,
lymphoid_mouse,T CD8_mouse,Ptprc;Cd3e;Cd3d;Cd8a;Cd8b1,Ptprc*(Cd3e+Cd3d)*(Cd8a+Cd8b1),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid_mouse,T CD4_mouse,Ptprc;Cd3e;Cd3d;Cd4;Tcf7;Sell;Ifng;Il4;Il17a;Il21,Ptprc*(Cd3e+Cd3d)*(Cd4+!Cd8a)*(Cd4+!Cd8b1)*(Tcf7+Sell+Ifng+Il4+Il17a+Il21)*(!Foxp3),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid_mouse,Treg_mouse,Ptprc;Cd3e;Cd3d;Cd4;Foxp3;Tigit;Ctla4;Il2ra,Ptprc*(Cd3e+Cd3d)*(Cd4+!Cd8a)*(Cd4+!Cd8b1)*Foxp3*(Tigit+Ctla4+Il2ra),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid_mouse,B_mouse,Ptprc;Cd19;Ms4a1,Ptprc*(Cd19+Ms4a1),host,
lymphoid_mouse,ILC_mouse,Ptprc;Klrb1,Ptprc*Klrb1,host,
lymphoid_mouse,Plasma_mouse,Ptprc;Jchain,Ptprc*Jchain,host,
stromal_mouse,fibroblasts_mouse,Col1a1;Col1a2;Vim;Fap;Pdgfrb;Pdgfra;Lum;Spp1;Dcn,Vim*(Col1a1+Col1a2+Fap+Pdgfrb+Lum+Spp1+Dcn+Pdgfra),host,verify you find COLA1 and COLA2 in Wu data
stromal_mouse,adipocytes_mouse,Acly;Acaca;Fasn,Acly*Acaca*Fasn,host,
stromal_mouse,endothelial_mouse,Pecam1;Egfl7;Id3;Flt1,Pecam1+Egfl7+Id3+Flt1,host,
stromal_mouse,epithelial_mouse,Cdh1;Epcam,Cdh1+Epcam,host,
stromal_mouse,Smooth muscle_mouse,Acta2;Myl9;Mylk;Myh11,Acta2+Myl9+Mylk+Myh11,host,
stromal_mouse,skeletal muscle_mouse,Fads1;Fgfr4;Acta1;Mlc1;Mylpf,Fads1+Fgfr4+Acta1+Mlc1+Mylpf,host,
stromal_mouse,skin epithelial_mouse,Krt5;Krt16;S100a14;Krt15;Calml5;Lhx2;Krt23;Krt14,Krt5*(Krt16+S100a14+Krt15+Calml5+Lhx2+Krt23+Krt14),host,
stromal_mouse,airway epithelial_mouse,Aqp1;Cdh1,Aqp1+Cdh1,host,
stromal_mouse,alveolar epithelial_mouse,Cldn18;Col4a3;Sftpc;Slc34a2;Sftpa1,Cldn18+Col4a3+Sftpc+Slc34a2+Sftpa1,host,
stromal_mouse,Melanocyte_mouse,Mlana;Tyrp1;Rab38;Mitf;Mc1r,Mlana+Tyrp1+Rab38+Mitf+Mc1r,host,
Erythrocytes_mouse,Erythrocytes_mouse,Hbb-bt;Hbb-bs;Hba-a1;Hba-a2,(Hbb-bt+Hbb-bs)+Hba-a1+Hba-a2,host,
Brain_mouse,Neurons_mouse,Rbfox3;Tubb3,Rbfox3*Tubb3,host,
Brain_mouse,Astrocytes_mouse,Gfap;Apoe;Acsl6,Gfap*Apoe*Acsl6,host,
Brain_mouse,Oligodendrocytes_mouse,Mbp;Mog;Olig2,Mbp*Mog*Olig2,host,
Brain_mouse,Microglia_mouse,Ptprc;Aif1;Cx3cr1;P2ry12,Ptprc+Aif1+Cx3cr1*P2ry12,host,
