lineage,cell_type,marker_genes,expected_markers,cancer_or_host,comments
Brain,Neurons,Rbfox3;Tubb3,Rbfox3*Tubb3,host,
Brain,Astrocytes,Gfap;Apoe;Acsl6,Gfap*Apoe*Acsl6,host,
Brain,Oligodendrocytes,Mbp;Mog;Olig2,Mbp*Mog*Olig2,host,
Brain,Microglia,Ptprc;Aif1;Cx3cr1;P2ry12,Ptprc+Aif1+Cx3cr1*P2ry12,host,
cancer,cancer,,,cancer,
myeloid,macrophages,Ptprc;Aif1;Cd68,Ptprc*Aif1*Cd68,host,
myeloid,dendritic,Ptprc;Aif1;Xcr1;Clec9a;Fcer1a;Fscn1;Ccr7,Ptprc*Aif1*(Xcr1+Clec9a+Fcer1a+Fscn1+Ccr7),host,
myeloid,Eosinophils,Ptprc;Aif1;Adgre1,Ptprc*Aif1*Adgre1,host,
myeloid,Neutrophils,Ptprc;Aif1;Csf3r;S100a8;Ctsg;Mpo,Ptprc*Aif1*(Csf3r+S100a8+Ctsg+Mpo),host,
myeloid,MAST,Ptprc;Aif1;Kit;Tpsab1;Tpsb2,Ptprc*Aif1*(Kit+Tpsab1+Tpsb2),host,
myeloid,MDSC,Ptprc;Aif1;S100a8;Icam1;S100a9,Ptprc*Aif1*(S100a8+Icam1+S100a9),host,
pDC,pDC,Ptprc;Irf7;Tcf4,Ptprc*(Irf7+Tcf4),host,
lymphoid,T CD8,Ptprc;Cd3e;Cd3d;Cd8a;Cd8b1,Ptprc*(Cd3e+Cd3d)*(Cd8a+Cd8b1),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,T CD4,Ptprc;Cd3e;Cd3d;Cd4;Tcf7;Sell;Ifng;Il4;Il17a;Il21,Ptprc*(Cd3e+Cd3d)*(Cd4+!Cd8a)*(Cd4+!Cd8b1)*(Tcf7+Sell+Ifng+Il4+Il17a+Il21)*(!Foxp3),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,Treg,Ptprc;Cd3e;Cd3d;Cd4;Foxp3;Tigit;Ctla4;Il2ra,Ptprc*(Cd3e+Cd3d)*(Cd4+!Cd8a)*(Cd4+!Cd8b1)*Foxp3*(Tigit+Ctla4+Il2ra),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,B,Ptprc;Cd19;Ms4a1,Ptprc*(Cd19+Ms4a1),host,
lymphoid,ILC,Ptprc;Klrb1,Ptprc*Klrb1,host,
lymphoid,Plasma,Ptprc;Jchain,Ptprc*Jchain,host,
stromal,fibroblasts,Col1a1;Col1a2;Vim;Fap;Pdgfrb;Pdgfra;Lum;Spp1;Dcn,Vim*(Col1a1+Col1a2+Fap+Pdgfrb+Lum+Spp1+Dcn+Pdgfra),host,verify you find COLA1 and COLA2 in Wu data
stromal,adipocytes,Acly;Acaca;Fasn,Acly*Acaca*Fasn,host,
stromal,endothelial,Pecam1;Egfl7;Id3;Flt1,Pecam1+Egfl7+Id3+Flt1,host,
stromal,epithelial,Cdh1;Epcam,Cdh1+Epcam,host,
stromal,Smooth muscle,Acta2;Myl9;Mylk;Myh11,Acta2+Myl9+Mylk+Myh11,host,
stromal,skeletal muscle,Fads1;Fgfr4;Acta1;Mlc1;Mylpf,Fads1+Fgfr4+Acta1+Mlc1+Mylpf,host,
stromal,skin epithelial,Krt5;Krt16;S100a14;Krt15;Calml5;Lhx2;Krt23;Krt14,Krt5*(Krt16+S100a14+Krt15+Calml5+Lhx2+Krt23+Krt14),host,
stromal,airway epithelial,Aqp1;Cdh1,Aqp1+Cdh1,host,
stromal,alveolar epithelial,Cldn18;Col4a3;Sftpc;Slc34a2;Sftpa1,Cldn18+Col4a3+Sftpc+Slc34a2+Sftpa1,host,
stromal,Melanocyte,Mlana;Tyrp1;Rab38;Mitf;Mc1r,Mlana+Tyrp1+Rab38+Mitf+Mc1r,host,
Erythrocytes,Erythrocytes,Hbb-bt;Hbb-bs;Hba-a1;Hba-a2,(Hbb-bt+Hbb-bs)+Hba-a1+Hba-a2,host,
Brain,Neurons,Rbfox3;Tubb3,Rbfox3*Tubb3,host,
Brain,Astrocytes,Gfap;Apoe;Acsl6,Gfap*Apoe*Acsl6,host,
Brain,Oligodendrocytes,Mbp;Mog;Olig2,Mbp*Mog*Olig2,host,
Brain,Microglia,Ptprc;Aif1;Cx3cr1;P2ry12,Ptprc+Aif1+Cx3cr1*P2ry12,host,
